LOAD_DTE,REF_CNT,STDV,MEAN,LCL,UCL
2019-06-07,27,10.38,34.04,23.66,44.42
2019-06-06,20,10.38,34.04,23.66,44.42
2019-06-05,30,10.38,34.04,23.66,44.42
2019-06-04,39,10.38,34.04,23.66,44.42
2019-06-03,49,10.38,34.04,23.66,44.42
2019-05-31,41,10.38,34.04,23.66,44.42
2019-05-29,34,10.38,34.04,23.66,44.42
2019-05-28,12,10.38,34.04,23.66,44.42
2019-05-27,40,10.38,34.04,23.66,44.42
2019-05-24,23,10.38,34.04,23.66,44.42
2019-05-23,28,10.38,34.04,23.66,44.42
2019-05-22,33,10.38,34.04,23.66,44.42
2019-05-21,42,10.38,34.04,23.66,44.42
2019-05-20,56,10.38,34.04,23.66,44.42
2019-05-16,27,10.38,34.04,23.66,44.42
2019-05-15,34,10.38,34.04,23.66,44.42
2019-05-14,41,10.38,34.04,23.66,44.42
2019-05-13,31,10.38,34.04,23.66,44.42
2019-05-10,21,10.38,34.04,23.66,44.42
2019-05-09,25,10.38,34.04,23.66,44.42
2019-05-08,40,10.38,34.04,23.66,44.42
2019-05-07,44,10.38,34.04,23.66,44.42
2019-05-06,41,10.38,34.04,23.66,44.42
2019-05-03,31,10.38,34.04,23.66,44.42
2019-05-02,24,10.38,34.04,23.66,44.42
2019-05-01,53,10.38,34.04,23.66,44.42
2019-04-29,33,10.38,34.04,23.66,44.42
